                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.619,                0.88204,                0.90511,                0.89453,                0.86008,                0.91746,                0.43701,                 1.7361,                0.83634,                0.93931,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.5862,                 0.8289,                0.90072,                0.94427,                0.86718,                0.91906,                0.46599,                 1.6602,                0.81187,                0.92889,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.6237,                0.87612,                0.89503,                0.95938,                0.86406,                0.91724,                0.47405,                 1.6208,                0.78475,                0.91943,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.6086,                0.84608,                 0.8988,                0.94549,                0.86571,                0.91961,                0.48766,                 1.6044,                0.76661,                0.92114,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.5842,                0.83808,                 0.8929,                0.95059,                0.86863,                 0.9062,                0.47146,                 1.6252,                0.81216,                0.92312,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.6036,                0.83846,                 0.8972,                0.92327,                0.87436,                0.92498,                0.48216,                 1.5912,                0.76383,                0.91806,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.5557,                0.81608,                0.88869,                0.93029,                0.90339,                0.93838,                0.49133,                 1.6094,                0.76018,                0.92387,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.5732,                 0.8209,                0.89491,                0.97317,                0.85605,                 0.9215,                0.47201,                 1.5955,                0.74421,                0.92305,               0.000604,               0.000604,               0.000604
                     43,                 1.5339,                0.81097,                0.89235,                0.95069,                0.87929,                0.92819,                0.47284,                 1.5793,                0.75876,                0.92115,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.5416,                0.79531,                0.87701,                0.97642,                0.84611,                0.94327,                0.48206,                 1.6215,                0.74933,                0.92541,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.5468,                0.80988,                0.88922,                0.95681,                0.85997,                0.93989,                0.45609,                 1.6544,                0.76679,                0.93029,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.5654,                0.82486,                0.89996,                0.94416,                0.89092,                0.93953,                0.47288,                 1.6655,                 0.7553,                0.93008,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.5251,                 0.7752,                0.89003,                 0.9188,                0.91548,                0.93257,                0.48734,                 1.6002,                0.74633,                0.92118,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.5111,                 0.7652,                0.88273,                 0.9415,                0.91646,                0.94026,                0.49172,                  1.572,                0.74267,                0.91823,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.5239,                0.79514,                 0.8778,                0.92227,                0.88778,                0.92744,                0.46108,                 1.6761,                0.75705,                 0.9334,              0.0005347,              0.0005347,              0.0005347
